liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
Enfance;21892;Baobab;;2017;basegame;3770000904703;15,9;"2 — 4";"10 — 15";6+;français,anglais,espagnol,italien,néerlandais,portugais;;Baobab;"Jeu de Cartes";Animaux,Arbres;;"Blue Orange";"Josep Maria Allué";"Cyril Bouquet"
Rétro;28840;Touché-coulé;;1972;basegame;5010994550011;0;Duo;30;8+;français;;"Bataille Navale";Wargame;Maritime;"Déduction,Rôle secret";MB;"Clifford Von Wickler";"Taavi Oolberg"
"1 ou 2 joueurs";28840;Touché-coulé;;1972;basegame;5010994550011;0;Duo;30;8+;français;;"Bataille Navale";Wargame;Maritime;"Déduction,Rôle secret";MB;"Clifford Von Wickler";"Taavi Oolberg"
"en cours de traitement";28749;"TipToi - Je découvre la ferme";;2015;extension;4005556006045;19,9;"1 — 4";30;"4 — 7";français;;TipToi;"Jeu Éducatif";Agriculture,Animaux,Nature;Logique,Mémorisation,Observation;Ravensburger;;
"en cours de traitement";28742;"TipToi - J'apprends l'anglais";;2015;extension;4005556006069;19,9;"1 — 4";30;"4 — 7";français;;TipToi;"Jeu Éducatif";Langues;Logique,Mémorisation,Observation;Ravensburger;;
"en cours de traitement";28747;"TipToi - Mon premier Atlas";;2015;extension;4005556006281;19,9;"1 — 4";30;"5 — 8";français;;TipToi;"Jeu Éducatif";"Culture générale";Logique,Mémorisation,Observation;Ravensburger;;
"en cours de traitement";3512;"TipToi - starter set";;2012;basegame;4005556005314;40;"1 — 4";30;"6 — 10";français;;TipToi;"Jeu Éducatif";Langues;Logique,Mémorisation,Observation;Ravensburger;;
"en cours de traitement";3504;"TipToi - Le magicien de la lecture";;2012;extension;4005556005345;25;"1 — 4";30;"6 — 10";français;;TipToi;"Jeu Éducatif";"Lettres,Magie & Sorcellerie";Logique,Mémorisation,Observation;Ravensburger;;
Expert;56597;"Explorers of the Woodlands";;2023;basegame;3760372231422;29;"1 — 4";"45 — 60";10+;français;;"Explorers of the Woodlands";"Jeu de plateau";Animaux,Arbres,Exploration,Fantastique,Nature;"Campagne,Coopération,Jet De Dés,Plateau modulaire,Pouvoir,Scénarios,Solo";"From The Woods Studio,Matagot";"Geoffrey Wood";"Jiahui Eva Gao"
Enfance;57265;"Sonic Super Teams";;2022;basegame;3558380073215,3558380094340;35;"2 — 4";20;7+;français;Sonic;;"Jeu de plateau";"Course,Jeu vidéo";Équipes,Parcours,Stratégie;Zygomatic;"Max Gerchambeau";
Expert;1990;"Twin Tin Bots";;2013;basegame;5425029880054;55;"2 — 6";50;10+;français;;;"Jeu de plateau";Course,Mines,Science-fiction;"Blocage,Bluff,Choix simultanés,Collecte & Transport,Déplacement,Programmation";"Flatlined Games";"Philippe Keyaerts";"Kwanchai Moriya"
Famille;5272;"Wataï - Vert";;2011;basegame;;0;"2 — 4";30;7+;français;;Wataï;;;;Dujardin;"Seth Blaine";
Famille;48610;"Magnetic Mikado";;2021;basegame;3437016026699;8,9;"2 — 4";30;6+;français;;Mikado;"Jeu D'Adresse";Abstrait;"Adresse & Dextérité,Collection,Magnétique";Widyka;;
"Petite Enfance";46515;"La Ferme à Toucher";;2014;basegame;;15;Solo;"10 — 20";"1 — 2";français;;;"Jeu D'Éveil";Agriculture,Animaux;Manipulation,Solo,Toucher;Nathan;;
Electronique;61842;"Petit Savant : La Maternelle";;2015;basegame;8005125624119;12,95;"1 — 4";15;"3 — 6";français;;"Petit Savant";"Jeu Éducatif";Chiffres,Lettres;"Association d'idées,Logique,Motricité";Clementoni;;
"Ludique Educatif";39848;Lettres;;2008;basegame;3070900083011;0;Solo;15;5+;français;;Lettres;"Jeu D'Éveil";Lettres;Observation;Djeco;;
"Petite Enfance";28662;"Domino - Un, Deux, Trois";;2013;basegame;3070900081680;6,9;"1 — 4";15;4+;français;;Dominos;;Animaux,Chiffres;"Cascade De Dominos";Djeco;;
"Ludique Educatif";80637;"10 Sur 10 ! Les Animaux";;2012;basegame;8008324055241;22,99;Solo;"5 — 15";"3 — 6";français;;;"Jeu électronique";Animaux;"Questions & Réponses";"Zig Zag Classic";;
"Ludique Educatif";23828;"La petite école - Couleurs et Formes";;2013;basegame;8410446314029;10;"1 — 4";15;"2 — 4";français;;"La petite école";"Jeu Éducatif";Couleurs,Formes;Combinaison,Observation;Nathan;;
"Ludique Educatif";3986;Archelino;;2012;basegame;4260071877277;25;1+;10;4+;français;;;Casse-tête;Animaux,Religions;Déduction,Défis,Logique,Réflexion,Solo;"Huch! & Friends";"Inon Khon";"Oliver Freudenreich"
"Ludique Educatif";48979;"Chasse aux trésors - Autour du monde";;2021;basegame;3700217324483;0;"1 — 6";20;6+;français;;"Chasse aux trésors";"Jeu De Connaissances";Environnement,Nature;Énigme,Observation;Janod;"Jean-François Rochas";
Enfance;74965;"Kids Express";;2024;basegame;3760269592902;24,9;"1 — 4";"15 — 30";5+;français;"Colt Express";"Colt Express";"Jeu de plateau";"Far West,Trains";"Adresse & Dextérité,Coopération";Ludonaute;"Cédric Lefebvre,Christophe Raimbault";"Jordi Valbuena"
Famille;165;Argh;;2017;basegame;3770006370021;13;"2 — 4";"5 — 15";8+;français,anglais;;Argh;"Jeu de Cartes";Animaux,Technologie;"Bluff,Collection,Dans Ta Face,Déduction";"Blue Cocker";"Romaric Galonnier";"Anne Heidsieck"
Famille;68315;GAP;;2023;basegame;3701551701404;12,5;"2 — 6";10;7+;français;;Gap;"Jeu de Cartes";Chiffres,Couleurs;"Chance & Hasard,Collection,Combinaison,Placement de cartes";funbot,Iello;"Frank Noack,Rico Besteher";"Ronny Libor"
"en cours de traitement";55727;"Give me five";;2021;basegame;;10;"3 — 8";15;8+;français;;"Give me five";"Jeu d'Ambiance";Lettres;"Coopération,Créativité & Imagination";"Burger King,Cocktail Games";"Dominique Della Scaffa,Jacques Bariot";Stivo
"en cours de traitement";52699;"Docteur Maboul";;2021;basegame;;0;"2 — 4";10;5+;français;;"Docteur Maboul";;Humour,Médical;"Adresse & Dextérité";"Burger King,Hasbro";"John Spinello,Marvin Glass";
"Casse/ Perte";6479;"Attrape chat !";;2007;basegame;3070900051997;0;"2 — 4";20;4+;français;;;"Jeu de Cartes";Animaux,Chats;Rapidité;Djeco;"Max Gerchambeau";"Christophe Gilet"
Enfance;66763;"Taco Chaton Pizza";;2023;basegame;3664824002007;11,9;"2 — 6";5;4+;français;;"Taco Chat Bouc Cheese Pizza";"Jeu de Cartes";Alimentation,Animaux;Défausse,Mémorisation,Observation,Rapidité;"Blue Orange";"Dave Campbell,Thierry Denoual";"Simon Douchy"
Ambiance;69885;"Smart 10 Famille";;2023;standalone;3700183426990;26,95;"2 — 8";20;14+;français;;"Smart 10";"Jeu De Connaissances";"Culture générale";"Déduction,Logique,Questions & Réponses";"Wilson Jeux";;
Expert;75080;Harmonies;;2024;basegame;3558380116684;35;"1 — 4";30;10+;français;;Harmonies;"Jeu de plateau";Animaux,Nature;"Combinaison,Placement Stratégique";Libellud;"Johan Benvenuto";"Maëva Da Silva"
Expert;44381;Lueur;;2021;basegame;3760267990526;35;"2 — 4";45;10+;français;;Lueur;"Jeu de Cartes,Jeu de plateau";Fantasy;"Choix multiples,Collection,Combinaison,Jet De Dés,Parcours,Pouvoir,Stop ou encore";Bombyx;"Cédrick Chaboussit";"Ben Basso,Vincent Dutrait"
Expert;74079;Looot;;2024;basegame;3421271397113;30;"2 — 4";35;10+;français;;Looot;"Jeu de tuiles";Vikings;"Exploration,Plateau modulaire";Gigamic;"Charles Chevallier,Laurent Escoffier";Naïade
Famille;71438;"Captain Flip";;2024;basegame;5430003838006,5430003838976;27;"2 — 5";20;8+;français;;"Captain Flip";"Jeu de tuiles";Maritime,Pirates;"Chance & Hasard,Choix multiples,Mémorisation,Placement de tuiles,Prise de risque";PlayPunk;"Paolo Mori,Remo Conzadori";"Jonathan Aucomte"
Famille;73844;Courtisans;;2024;basegame;3760273010423;17,9;"2 — 5";"20 — 30";8+;français;;;"Jeu de Cartes";Médiéval,Royauté;"Chance & Hasard,Choix multiples,Collection,Dans Ta Face,Majorité,Placement de cartes,Pouvoir";"Catch Up Games";"Anthony Perone,Romaric Galonnier";"Noëmie Chevalier"
"Jeux de Rôle / Aventures";75629;"Backstories - Seule Sous La Glace";;2024;basegame;3760371751068;15;"1 — 6";60;10+;français;;Backstories;"Jeu de Cartes";"Enquêtes & Mystères";"Choix multiples,Coopération,Déduction,Manipulation,Narration,Scénarios";"La Boite De Jeu";"Anthony Perone,Jules Messaud";"Cyrille Bertin"
Famille;71194;"Kronologic - Paris 1920";;2024;basegame;3760243851858;25;"1 — 4";30;10+;français;;Kronologic;"Jeu de plateau";"Enquêtes & Mystères,Paris";Déduction,Énigme,Réflexion,Stratégie;"Origames,Super Meeple";"Fabien Gridel,Yoann Levet";"Arch Apolar,Yann Valeani"
Famille;21882;"Sushi Go !";;2014;basegame;3760052141652,3760052142765;13;"2 — 5";15;8+;français;;"Sushi Go";"Jeu de Cartes";Alimentation,Cuisine,Japon;"Draft,Majorité,Prise de risque";"Cocktail Games,Gamewright";"Phil Walker-Harding";"Nan Rangsima"
Famille;76176;Dékal;;2024;basegame;3421271199816;15;"2 — 6";"10 — 20";7+;français;;;"Jeu de Cartes";Chiffres;"Chance & Hasard,Choix multiples,Placement de cartes,Plateau modulaire";Gigamic;"Claude Clément";"Joey & Grumpy"
"Ludique Educatif";56226;"IQ Love";;2022;basegame;5414301524397;14;Solo;20;7+;français;;IQ;Casse-tête;Abstrait,Amour;Déduction,Défis,Logique,Solo;"Smart Games";;
Enfance;77348;"Spy Guy";;2023;basegame;5900511025187;19,9;"1 — 4";20;5+;français,anglais,allemand,espagnol,néerlandais;;"Spy Guy";"Jeu de plateau";"Enquêtes & Mystères";Coopération,Observation;Trefl;"Mariusz Majchrowski";"Michal Ambrzykowski"
Enfance;49744;Félinspecteur;;2021;basegame;8410446313107;16,9;"2 — 5";20;6+;français;;;"Jeu D'Enquête";"Animaux,Chats,Enquêtes & Mystères";"Déduction,Questions & Réponses";Nathan;"Nicolas Walther,Romaric Galonnier";"Adrien Siroy"
"Casse/ Perte";23599;"Unlock! - La 5e avenue";;2017;goodie;3558380058441;0;"1 — 6";30;10+;français;;Unlock!;"Escape Game,Jeu de Cartes";Amérique,Ville;Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cowboys";"Arnaud Ladagnous,Billy Stevenson,Cyril Demaegd,Fabrice Mazza,Sébastien Pauchon";"Florian De Gesincourt"
"Jeux de Rôle / Aventures";48747;"Unfold Kids : Opération Cookies";;2021;basegame;;0;"1 — 4";"30 — 60";8+;français;;;"Escape Game";Alimentation;Énigme;"Lifestyle Boardgames";"Alexander Peshkov,Ekaterina Pluzhnikova,Martin Nedergaard Andersen";"Anna Nenasheva,Ekaterina Chirkova,Nadezhda Mikhailova,Victoria Volina-Lukian"
Famille;57621;"La Légende Des Trois Pièces";;2022;basegame;;25,9;"2 — 5";"20 — 40";6+;français;;;"Livre jeu";"Médiéval Fantastique";"Coopération,Créativité & Imagination";Gigamic;"Nicholas Cravotta,Rebecca Bleau";"Amanda Jenner"
Enfance;45707;"Vive la couronne !";;2020;basegame;4010168248486;13,9;"2 — 4";10;6+;français,anglais,allemand,espagnol,italien,néerlandais;;;"Jeu de plateau";Chevalerie,Médiéval;Bluff,Pari;Haba;"Tim Rogasch";"Gus Batts"
Famille;49042;Loading;;2021;basegame;3760268310361;10,9;"2 — 7";5;7+;français;;;"Jeu d'Ambiance,Jeu de Cartes";Abstrait;Rapidité,Simultanéité;"Lumberjacks Studio";"Marc Paquien";"Kevin De Castro"
Famille;42050;"Bears In Barrels";;2020;basegame;3664824000492;14,9;"4 — 8";30;7+;français;;;"Jeu D'Adresse";Animaux,Miel,Ours;"Adresse & Dextérité";"Blue Orange";"Jeremy Posner";
Enfance;78315;BrainBox;;2024;basegame;;0;"2 — 8";10;8+;français;;Brainbox;"Jeu de Cartes";Animaux;"Questions & Réponses";"The Green Board Game Co";;
"Ludique Educatif";42218;"Vocabulon Junior";;2017;basegame;9782035602510;29,99;"2 — 4";45;"6 — 12";français;;Vocabulon;"Jeu De Connaissances";Lettres;"Questions & Réponses";Megableu;;
Rétro;35322;"Monopoly Junior - Miraculous";;2019;basegame;;24,99;"2 — 4";30;5+;français;Miraculous;Monopoly;"Jeu de plateau";"Bourse & Finances";"Jet De Dés,Parcours";Hasbro;;
"Ludique Educatif";78732;"Je Joue Aux Échecs !";"Mon Premier Jeu D'échec";2018;basegame;3700371924918;0;Duo;"15 — 45";"4 — 8";français;;"Jeu d'échecs";"Jeu de pions";Abstrait;"Déplacement,Prise de risque,Réflexion,Stratégie";"Fnac Éveil&jeux";;
"1 ou 2 joueurs";78732;"Je Joue Aux Échecs !";"Mon Premier Jeu D'échec";2018;basegame;3700371924918;0;Duo;"15 — 45";"4 — 8";français;;"Jeu d'échecs";"Jeu de pions";Abstrait;"Déplacement,Prise de risque,Réflexion,Stratégie";"Fnac Éveil&jeux";;
"Jeux de Rôle / Aventures";54069;"Wonder Book";;2022;basegame;3558380094296;70;"1 — 4";"60 — 90";10+;français;;"Wonder book";"Jeu de Cartes,Jeu de figurines";Dragons,Fantastique;"Affrontement Direct,Campagne,Coopération,Exploration,Jet De Dés,Pouvoir,Scénarios,Solo";"Dv Giochi";"Martino Chiacchiera,Michele Piccolini";"Dario Cestaro,Miguel Coimbra"
Extérieur;48724;"Dobble XXL";;2020;basegame;3558380068747;27,9;"2 — 8";10;6+;français;;Dobble;"Jeu d'Ambiance,Jeu de Cartes";Humour;"Affrontement Direct,Association d'idées,Observation,Rapidité";Zygomatic;;
"Escape game";66849;"Suspects 3";"Adèle et Neville, reporters détectives";2023;basegame;3616450015357;29;"1 — 6";90;10+;français;;Suspects;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Narration,Scénarios,Solo;"Studio H";"Fabien Clavel,Guillaume Montiage,Paul Hatler,Sébastien Duverger-Nédellec";"Albertine Ralenti,Looky,Siamh,Théo Legouis"
"Escape game";54437;"Suspects 2";"Claire Harper, éternelle enquêtrice";2022;basegame;3616450015012;28;"1 — 6";"30 — 60";10+;français;;Suspects;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Narration,Scénarios,Solo;"Studio H";"Guillaume Montiage,Manuel Rozoy";"Emile Denis"
"Escape game";67352;"Unlock! Short Adventures - Red Mask";;2023;basegame;3558380107101;6,5;"1 — 6";45;10+;français;;"Unlock!,Unlock! Short Adventures";"Escape Game";Aventure;Déduction,Énigme,Logique,Observation,Roleplay;"Space Cowboys";"Cyril Demaegd";Neriac
Enfance;58942;"Bubble Stories Vacances";;2022;basegame;3664824001642;10;"1 — 2";10;4+;français;;"Bubble Stories";"Escape Game,Jeu de Cartes";"Transport & voyage,Vacances";Coopération,Narration,Solo;"Blue Orange";"Matthew Dunstan";"Simon Douchy"
"Escape game";74763;"Escape Room - Maison Hantée";;2023;basegame;8715427099781;2;"2 — 4";45;8+;français,anglais,néerlandais;;"Escape room";"Escape Game";"Fantômes & Esprits";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Creative Craft Group";;
"Escape game";74762;"Escape Room - Voyage en train à travers l'Europe";;2023;basegame;8715427099798;2;"2 — 4";45;8+;français,anglais,néerlandais;;"Escape room";"Escape Game";Europe,Trains;Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Creative Craft Group";;
"Escape game";74667;"Escape Room - Parc d'attractions";;2023;basegame;8715427099774;2,99;"1 — 6";60;10+;français,néerlandais;;"Escape room";"Escape Game";"Parc d'attractions";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Sans Peur Et Sans Reproche";;
"Escape game";62164;"Deckscape : In Wonderland";;2023;basegame;3770023051293;12,9;"1 — 6";60;12+;français;"Alice au pays des merveilles";Deckscape;"Escape Game";Contes,Littérature;Coopération,Déduction,Énigme;"Dv Giochi,Super Meeple";"Martino Chiacchiera,Silvano Sorrentino";
"Escape game";36259;"Héroi'cartes - Le Labo Déglingo";;2019;basegame;;8,95;Solo;"60 — 120";8+;français;;Héroi'cartes;"Escape Game,Jeu de Cartes";Aventure,Exploration,Sciences;"Construction Narrative,Déduction,Énigme,Gestion de main,Observation,Roleplay";"404 Éditions";"Charles Soland,Steven Bertal";
"Escape game";36059;"Héroi'cartes - Le Temple du Crépuscule";;2019;basegame;9791032402993;8,95;Solo;"60 — 120";8+;français;;Héroi'cartes;"Escape Game,Jeu de Cartes";Aventure,Exploration,Jungle;"Construction Narrative,Déduction,Énigme,Gestion de main,Observation,Roleplay";"404 Éditions";"Charles Soland,Steven Bertal";"Marcel Pixel"
"Ludique Educatif";5596;"Trivial Pursuit : Edition Kids";;2010;basegame;;0;2+;60;"8 — 12";français;;"Trivial Pursuit";"Jeu De Connaissances";;"Questions & Réponses";Hasbro;"Chris Haney,Scott Abbot";
"Ludique Educatif";78214;"Les Incollables Spécial Énigmes";;2012;basegame;9782809648430;10;"2 — 4";"30 — 60";7+;français;;"les incollables";"Jeu de Cartes";"Enquêtes & Mystères";Énigme,Logique,Observation;PlayBac;;
Enfance;78213;"Plus And Minus";;2013;basegame;8033532910020;0;"2 — 4";"15 — 60";"3 — 8";anglais,italien;;;"Jeu de Cartes";"Vie quotidienne";"Association d'idées";Corraini;"Bruno Munari,Giovanni Belgrano";
"Petite Enfance";38970;"Licornes dans les Nuages";"Jeu de Cartes";2020;basegame;4010168217635;7,5;"2 — 6";30;4+;français,anglais,allemand;;"Licornes dans les nuages";"Jeu de Cartes";Fantastique,Licornes;"Gestion de main";Haba;;"Stephanie Roehe"
"Petite Enfance";30991;"Une Souris Verte";;2013;basegame;8410446314920;10;"2 — 4";10;4+;français;;;"Jeu de Cartes";Animaux;"Gestion de main,Narration";Nathan;"Marie Chaplet,Steffanie Yeakle";"Mélisande Luthringer"
"Petite Enfance";26112;"Mon premier jeu d'association";;2015;basegame;;18;"1 — 3";"5 — 15";"2 — 5";français;;;"Jeu de plateau";Animaux;Collection,Observation;"Djeco,Nature & Découvertes";;
"Petite Enfance";78121;"Cache-Cache - Peppa Pig";;2016;basegame;8410446462126;5;"2 — 4";"10 — 20";"2 — 6";français;"Peppa Pig";;"Jeu électronique";Cochons;Observation;Diset;;
"Petite Enfance";42939;"Memo - Minnie";;2012;basegame;;0;"1 — 2";"10 — 15";4+;français;Disney;Mémo;;;Mémorisation;Clementoni;;
"Petite Enfance";78143;"Memo - Dory";;2018;basegame;8005125133772;0;1+;15;"4 — 6";français;"Disney,Le monde de Némo";Memory;"Jeu de Cartes";"Film & Série";"Association d'idées,Collection,Mémorisation,Observation";Clementoni;;
"Casse/ Perte";19445;Perlatette;;2017;basegame;3421272114917;35;"2 — 5";"10 — 20";6+;français;;;"Jeu de plateau";Fantastique,Nature;"Adresse & Dextérité,Coopération";Gigamic;"Marco Teubner";"Rolf Vogt"
"Casse/ Perte";4702;"Mini Family";;2009;basegame;3070900051010;8,9;"2 — 4";10;"4 — 7";français;;"Mini Djeco";"Jeu de Cartes";Fantastique;Collection;Djeco;;
"Casse/ Perte";23795;"Little Action";;2016;basegame;3070900085572;18;"2 — 4";10;"2 — 5";français,anglais,allemand,espagnol;;"Little Djeco";"Jeu d'Ambiance";Animaux;"Adresse & Dextérité,Défis";Djeco;;
"Casse/ Perte";16356;"À l'École des Fantômes";;2003;basegame;4010168032191;40;"1 — 6";20;5+;français;;"À l'École des Fantômes";"Jeu D'Adresse,Jeu de plateau";"Château,Fantômes & Esprits";"Adresse & Dextérité,Magnétique";Haba;"Kai Haferkamp,Markus Nikisch";"Sabine Kraushaar"
"Casse/ Perte";6535;"À l'école des Fantômes - Le jeu de cartes";;2010;basegame;4010168033372;7,5;"2 — 4";10;4+;français;;"À l'École des Fantômes";"Jeu de Cartes";"Fantômes & Esprits";Mémorisation;Haba;"Kai Haferkamp,Markus Nikisch";"Sabine Kraushaar"
"Casse/ Perte";11065;"Le Loto des odeurs";;2007;basegame;;32;"1 — 5";20;"4 — 8";français;;Loto;"Jeu de plateau";Végétaux;Loto,Olfactif;Sentosphère;"Véronique Debroise";
Enfance;2240;Trap'tartine;;2013;basegame;3558380017219;20;"2 — 4";10;4+;français;;"Trap Tartine";"Jeu D'Adresse";Alimentation,Cuisine,Humour;"Adresse & Dextérité,Chance & Hasard,Observation";Asmodee;"Marie Chaplet,Steffanie Yeakle";"Virginie Jacquiot"
Expert;42899;Cerebria;"Le Monde intérieur";2021;basegame;5425037740449;69,98;"1 — 4";"60 — 120";14+;français;Cerebria;Cerebria;"Jeu de plateau";Fantastique,Onirique;"Conquête,Deck building,Gestion de main,Points d'action,Pouvoir";"Intrafin Games,Mindclash Games";"Richárd Ámann,Viktor Péter";"Villő Farkas"
Expert;23531;Samsara;;2018;basegame;3701273300008;36;"1 — 5";50;12+;français,anglais;;Samsara;"Jeu de Cartes";Fantastique;"Deck building";"Oka Luda";Sylas;"Nicolas Sauge"
Expert;56084;Namiji;;2022;basegame;3770019647530;50;"2 — 5";45;8+;français,anglais;Tokaido;Namiji;"Jeu de plateau";"Asie,Commerce,Course,Exploration,Historique,Japon,Transport & voyage";"Collection,Déplacement,Prise de risque,Programmation";Funforge;"Antoine Bauza";Naïade
Expert;61381;Rauha;;2023;basegame;3760290560284;35,5;"2 — 5";45;10+;français,anglais;;Rauha;"Jeu de Cartes,Jeu de plateau";Écologie;"Choix simultanés,Combinaison,Draft,Placement de cartes,Pouvoir";"Grrre Games";"Johannes Goupy,Théo Rivière";O'lee
Famille;48805;"Paper Dungeons";"Une Mine d'Aventures !";2021;basegame;3665361057857;25;"1 — 8";30;10+;français;;"Paper Dungeons Une Mine d'Aventure";"Jeu à Griffonner,Jeu de dés";"Donjons,Dragons,Exploration,Médiéval Fantastique";"Chance & Hasard,Papier & Crayon,Roll & Write";"MeepleBR,Super Meeple";"Leandro Pires";"Dan Ramos,Daniel Rocchi"
Famille;1989;"Huit minutes pour un empire";;2013;basegame;3760175511219;18;"2 — 5";8;12+;français;"Huit minutes pour un empire";"Huit minutes pour un empire";"Jeu de plateau";Colonisation,Conquête;Collection,Conquête,Majorité;Iello;"Ryan Laukat";"Ryan Laukat"
Famille;5798;"Lemming Mafia";;2010;basegame;3760175510205;24;"3 — 6";20;8+;français;;"Lemming Mafia";"Jeu de plateau";Course,Lemmings,Mafia;"Chance & Hasard,Jet De Dés,Objectif secret,Parcours,Pari,Pouvoir";Iello;"Michael Rieneck";"Joscha Sauer"
Famille;928;Lutèce;;2015;basegame;3760243850004;22;"2 — 5";45;10+;français;;;"Jeu de Cartes,Jeu de plateau";Antiquité,Ville;"Chance & Hasard,Choix simultanés,Collection,Enchères,Enchères cachées,Gestion de main,Majorité";Superlude;"Nicolas Sato";Biboun
Famille;49474;Tichu;;2021;basegame;3760308480122;13;"3 — 6";60;10+;français;;Tichu;"Jeu de Cartes";Abstrait,Asie,Chine;Combinaison,Défausse,Plis;"Tiki Editions";"Urs Hostettler";"Christine Alcouffe"
"1 ou 2 joueurs";40474;Paris;"Ville Lumière";2020;basegame;3760175517228;20;Duo;30;8+;français;;"Paris Ville Lumière";"Jeu de plateau,Jeu de tuiles";"Architecture,Belle Epoque,France,Immobilier,Paris";"Construction,Majorité,Placement de tuiles,Puzzle";Devir,Iello;"Jose Antonio Abascal Acebo";"Oriol Hernández"
"1 ou 2 joueurs";32937;Jaipur;;2019;basegame;3558380063940;20;Duo;30;10+;français;;Jaipur;"Jeu de Cartes";"Asie,Chameaux & Dromadaires,Commerce,Inde";"Combinaison,Défausse,Gestion de main";"Space Cowboys";"Sébastien Pauchon";"Vincent Dutrait"
"Escape game";74154;"Enquêtes Express - Dans L'ombre De Peter";;2024;basegame;3770005767570;0;"2 — 6";30;10+;français;"Peter Pan";"Enquêtes express";"Jeu D'Enquête";"Contes,Enquêtes & Mystères";Coopération,Mémorisation,Narration;"Blam !";"Antonin Boccara";"Jérémie Cansado"
"Escape game";72086;"Enquêtes Express - Panique à Dinopark";;2023;basegame;3770005767532;7;"2 — 6";30;10+;français;;"Enquêtes express";"Jeu D'Enquête";Dinosaures,Loisirs;Déduction;"Blam !";"Antonin Boccara,Pierre Buty";"Eliot Trouttet"
"Escape game";63227;"Enquêtes express";;2023;basegame;3770005767471;14,9;"2 — 6";30;10+;français;;"Enquêtes express";"Jeu D'Enquête";"Cirque,Contes,Enquêtes & Mystères,Mythologie";Coopération,Mémorisation,Narration;"Blam !";"Antonin Boccara";"Audrey Vellard,Claire Conan,Eliot Trouttet"
"Sur place";67182;"Ma Première Aventure - La Bibliothèque Infinie";;2023;basegame;9782956296386;19,9;Solo;30;4+;français;;"Ma première Aventure";"Livre dont vous êtes le héros";"Fantastique,Magie & Sorcellerie";Exploration,Scénarios;"Game Flow";"Pauline Vallet";Seppyo
"Jeux de Rôle / Aventures";4603;"Descent - Voyages dans les Ténèbres";"Seconde Édition";2011;basegame;8435407601642;74,9;"2 — 5";120;10+;français;Descent;"Descent 2";"Jeu de figurines";Fantastique,Médiéval;"Affrontement Direct,Exploration,Gestion de main,Jet De Dés,Plateau modulaire,Points d'action,Pouvoir,Semi-coopération";"Edge Entertainment";"Adam Sadler,Corey Konieczka,Nathan Hajek";
Expert;4603;"Descent - Voyages dans les Ténèbres";"Seconde Édition";2011;basegame;8435407601642;74,9;"2 — 5";120;10+;français;Descent;"Descent 2";"Jeu de figurines";Fantastique,Médiéval;"Affrontement Direct,Exploration,Gestion de main,Jet De Dés,Plateau modulaire,Points d'action,Pouvoir,Semi-coopération";"Edge Entertainment";"Adam Sadler,Corey Konieczka,Nathan Hajek";
Expert;63419;Vorex;;2023;basegame;0769503437583;26,9;"1 — 4";30;10+;français;;;"Jeu de tuiles";Végétaux;"Conquête,Placement de tuiles";"Salty Knights";"Timothée Decroix";"Lucile Linguet"
Famille;58121;"Skull King";;2022;basegame;3770000282771;14,9;"2 — 8";30;8+;français;;"Skull king";"Jeu de Cartes";Pirates;"Pari,Plis,Prise de risque";"Grandpa Beck's Games";"Brent Beck,Jeffrey Beck";"Apryl Stott,David Bock"
"Petite Enfance";77338;"Playtive Junior - Animaux À Empiler";;2019;basegame;4056232664752;4,99;Solo;"5 — 10";3+;français;;"Playtive Junior";"Jeu D'Adresse";Animaux;"Adresse & Dextérité,Empilement,Logique,Observation,Réflexion";Playtive;;
"Petite Enfance";76909;"Cubes Sonores De La Savane";;2023;basegame;3048700021014;24,99;Solo;"1 — 17";"1 — 3";français;;;"Jeu D'Éveil";Animaux,Savane;Manipulation;Vilac;;
"Petite Enfance";68347;"Memo & Puzzle";;2020;basegame;;0;"2 — 6";10;"3 — 7";français;;Memory;Puzzle;Animaux;"Association d'idées,Collection,Mémorisation,Observation,Puzzle";Janod;;
"Petite Enfance";70132;"Jeu d'équilibre coccinelle";;2001;basegame;4056233695533;9,99;"1 — 6";10;3+;français;;;"Jeu D'Adresse";Insectes;"Adresse & Dextérité,Équilibre";Playtive;;
"Sur place";70547;"Ma Première Aventure - Pattie et l'épreuve des dieux";;2023;basegame;9782492939105;19,9;"1 — 2";30;4+;français;;"Ma première Aventure";"Livre jeu";Mythologie;Exploration;"Game Flow";"Roméo Hennion";"Arnaud Boutle"
Enfance;72953;"Roi & Compagnie Junior";;2023;basegame;4010168265483;16,95;"2 — 4";30;4+;français,anglais,néerlandais;"roi & compagnie";;"Jeu de dés";Château,Royauté;Construction;Haba;"Nils Nilsson";"Gus Batts"
